Id,Label,timeset,dominant_topic,color,color_cluster,pub_sum,pub_weighted,pub_w_4,filter_>=2,label_size,node_size,modularity_class,eigencentrality,clustering,triangles
1263,"Cobb, Aaron D.",,G-Particles (3),"#F3AA91","#EF8864",3,,,,3,2,13,0.003643,0.514286,54
1271,"Coffman, E. J.",,B-Knowledge (21),"#81C884","#81C884",4,,,,4,2,5,0.614044,0.812269,4184
1284,"Cohen, Michael P.",,C-Probability (9),"#AED681","#AED681",2,,,,2,1,15,0.075182,0.817126,1126
1291,"Cohnitz, Daniel",,B-Arguments (22),"#97D8A3","#81C884",3,,,,2,1,5,0.049847,0.533333,56
1301,"Coliva, Annalisa",,B-Knowledge (21),"#81C884","#81C884",3,,,,3,2,5,0.561741,0.901685,3531
1305,"Collins, Harry M.",,C-Experiment (12),"#C5E2A5","#AED681",13,,,,7,3,19,0.039639,0.645161,300
1306,"Collins, John",,B-Arguments (22),"#97D8A3","#81C884",6,,,,5,2,17,0.00771,0.450549,41
1309,"Colombo, Matteo",,E-Neurosciences (13),"#DCE875","#FDF176",6,,,,4,2,13,0.021233,0.596096,397
1311,"Colyvan, Mark",,B-Arguments (22),"#97D8A3","#81C884",5,,,,4,2,22,0.005987,0.591667,71
1312,"Comesaña, Juan",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.443122,0.869618,2161
1315,"Conitzer, Vincent",,C-Probability (9),"#AED681","#AED681",3,,,,3,2,15,0.050745,0.58885,507
1320,"Contessa, Gabriele",,F-Property (2),"#F4B74C","#F4B74C",6,,,,6,2,4,0.022644,0.455882,62
1324,"Cook, Roy T.",,A-Mathematical (15),"#53B6AC","#53B6AC",3,,,,3,2,12,0.01385,0.506667,152
1339,"Copeland, B. Jack",,E-Neurosciences (13),"#DCE875","#FDF176",6,,,,4,2,12,0.001893,0.666667,2
1344,"Corazza, Eros",,A-Sentence (7),"#4BA69A","#53B6AC",4,,,,4,2,17,0.023851,0.914439,513
1348,"Cordero, Alberto",,G-Quantum (14),"#EF8864","#EF8864",5,,,,4,2,26,0.299539,0.838655,499
1350,"Corfield, David",,A-Mathematical (15),"#53B6AC","#53B6AC",4,,,,3,2,12,0.010426,0.778986,215
1370,"Couch, Mark B.",,E-Neurosciences (13),"#DCE875","#FDF176",4,,,,4,2,13,0.017414,0.467692,152
1378,"Cowie, Christopher",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.595399,0.814265,3950
1379,"Cowie, Fiona",,E-Mind (11),"#FDF176","#FDF176",2,,,,2,1,13,0.002276,0.428571,12
1380,"Cowling, Sam",,F-Property (2),"#F4B74C","#F4B74C",4,,,,4,2,4,0.130433,0.730974,1921
1388,"Craig, William Lane",,G-Quantum (14),"#EF8864","#EF8864",14,,,,7,3,17,0.00235,0.2,2
1392,"Crasnow, Sharon L.",,B-Arguments (22),"#97D8A3","#81C884",3,,,,3,2,9,0.002568,0.392857,11
1393,"Craver, Carl F.",,E-Neurosciences (13),"#DCE875","#FDF176",11,,,,9,3,13,0.024666,0.557032,503
1407,"Cresto, Eleonora",,A-Truth (23),"#439788","#53B6AC",2,,,,2,1,12,0.045195,0.409231,133
1414,"Cross, Charles B.",,A-Truth (23),"#439788","#53B6AC",6,,,,4,2,12,0.016858,0.657143,138
1418,"Crowell, Steven",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.004258,0.5,33
1424,"Crupi, Vincenzo",,C-Probability (9),"#AED681","#AED681",8,,,,3,2,15,0.071317,0.689029,986
1425,"Cruse, Pierre",,B-Scientific-theory (1),"#66BC6A","#81C884",2,,,,2,1,22,0.013928,0.597148,335
1428,"Cuffaro, Michael E.",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.782725,0.882353,3225
1439,"Cunningham, Andrew",,H-History (0),"#BCAAA4","#A1887F",4,,,,3,2,19,0.00865,0.641304,177
1445,"Curiel, Erik",,G-Quantum (14),"#EF8864","#EF8864",4,,,,4,2,26,0.978497,0.79646,5040
1447,"Currie, Adrian",,E-Evolution (5),"#FEFAC4","#FDF176",10,,,,8,3,25,0.20316,0.746587,2242
1462,"D'Agostino, Fred B.",,B-Arguments (22),"#97D8A3","#81C884",8,,,,3,2,19,0.088466,0.685096,1425
1473,"Dacey, Mike",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,3,2,13,0.008777,0.477124,73
1474,"Dacey, Raymond",,D-Agent-decision (8),"#DCE875","#DCE875",7,,,,2,1,24,0.018317,0.68254,430
1480,"Daly, Chris John",,B-Arguments (22),"#97D8A3","#81C884",2,,,,2,1,17,0.073723,0.320197,130
1482,"Damböck, Christian",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.006309,0.397059,54
1491,"Danks, David",,C-Experiment (12),"#C5E2A5","#AED681",7,,,,4,2,9,0.008568,0.519048,109
1497,"Darden, Lindley",,E-Evolution (5),"#FEFAC4","#FDF176",10,,,,2,2,13,0.039755,0.496124,448
1498,"Darling, Karen Merikangas",,B-Scientific-theory (1),"#66BC6A","#81C884",2,,,,2,1,22,0.011824,0.843077,274
1501,"Darrigol, Olivier",,G-Quantum (14),"#EF8864","#EF8864",4,,,,4,2,26,0.751423,0.888628,3024
1515,"Davey, Kevin",,G-Particles (3),"#F3AA91","#EF8864",6,,,,6,2,26,0.095878,0.509524,107
1519,"Davies, David",,B-Scientific-theory (1),"#66BC6A","#81C884",4,,,,3,2,22,0.00499,0.380952,8
1520,"Davies, E. B.",,H-Classics (24),"#D8CCC7","#A1887F",3,,,,3,2,26,0.015976,0.833333,5
1531,"Dawes, Robyn M.",,C-Experiment (12),"#C5E2A5","#AED681",2,,,,2,1,9,0.007852,0.75,90
1534,"Dawid, Richard",,C-Experiment (12),"#C5E2A5","#AED681",6,,,,5,2,9,0.007568,0.683333,82
1552,"De Bruin, Boudewijn",,D-Agent-decision (8),"#DCE875","#DCE875",2,,,,2,1,24,0.020915,0.684127,431
1570,"De Jong, Willem R.",,H-Philosophy (6),"#A1887F","#A1887F",3,,,,3,2,19,0.00332,0.383333,46
1574,"De Langhe, Rogier",,C-Experiment (12),"#C5E2A5","#AED681",3,,,,3,2,24,0.00354,0.47619,10
1575,"De Laplante, Kevin",,F-Explanation (16),"#F7CD7F","#F4B74C",2,,,,2,1,13,0.000659,0,0
1581,"De Melo-Martín, Inmaculada",,H-Social (18),"#8D6E63","#A1887F",3,,,,2,1,19,0.075857,0.711785,1057
1594,"De Regt, Henk W.",,F-Explanation (16),"#F7CD7F","#F4B74C",12,,,,10,3,13,0.009479,0.590643,101
1596,"De Renzi, Silvia",,H-History (0),"#BCAAA4","#A1887F",2,,,,2,1,19,0.008033,0.8,168
1598,"De Sa, Dan López",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.030297,0.736434,665
1615,"DeVito, Scott",,C-Experiment (12),"#C5E2A5","#AED681",2,,,,2,1,9,0.00656,0.654412,89
1619,"Dear, Peter",,H-History (0),"#BCAAA4","#A1887F",3,,,,2,1,19,0.015041,0.445652,123
1622,"Decker, Jason",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.575095,0.706076,3637
1630,"Delancey, Craig Stephen",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,3,2,13,0.023004,0.567816,247
1637,"Dellsén, Finnur",,B-Arguments (22),"#97D8A3","#81C884",4,,,,4,2,22,0.005601,0.361111,13
1638,"Deltete, Robert J.",,G-Particles (3),"#F3AA91","#EF8864",4,,,,3,2,13,0.006917,0.666667,70
1639,"Demarest, Heather",,C-Probability (9),"#AED681","#AED681",2,,,,2,1,15,0.025158,0.628571,132
1640,"Demeter, Tamás",,B-Scientific-theory (1),"#66BC6A","#81C884",2,,,,2,1,22,0.004056,0.666667,10
1644,"Demopoulos, William",,A-Formal (4),"#B2DFDB","#53B6AC",8,,,,3,2,12,0.001779,0.357143,10
1657,"Derksen, Anthony A.",,B-Arguments (22),"#97D8A3","#81C884",5,,,,2,1,13,0.000963,0.5,3
1659,"DesAutels, Lane",,F-Explanation (16),"#F7CD7F","#F4B74C",2,,,,2,1,13,0.011404,0.710526,135
1667,"Deutsch, David",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.546041,0.963033,1537
1669,"Deutsch, Max",,E-Perception (10),"#F9D849","#FDF176",2,,,,2,1,13,0.003669,0.736264,67
1674,"Devitt, Michael",,B-Arguments (22),"#97D8A3","#81C884",6,,,,6,2,17,0.002363,0.333333,2
1687,"DiSalle, Robert",,H-Classics (24),"#D8CCC7","#A1887F",5,,,,3,2,2,0.007919,0.72,234
1690,"Dicken, Paul",,B-Scientific-theory (1),"#66BC6A","#81C884",3,,,,3,2,22,0.01576,0.58037,408
1694,"Dickson, W. Michael",,G-Quantum (14),"#EF8864","#EF8864",12,,,,7,3,26,0.973247,0.816708,4986
1699,"Dieks, Dennis",,G-Quantum (14),"#EF8864","#EF8864",15,,,,6,2,26,0.568672,0.948023,1678
1710,"Dietz, Richard",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.004472,0.577778,26
1712,"Dieveney, Patrick S.",,B-Scientific-theory (1),"#66BC6A","#81C884",4,,,,4,2,22,0.01468,0.53003,353
1719,"Dinges, Alexander",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.599442,0.730769,3990
1723,"Dipert, Randall R.",,A-Language (17),"#80CBC4","#53B6AC",2,,,,2,1,12,0.000147,0,0
1729,"Dizadji-Bahmani, Foad",,G-Quantum (14),"#EF8864","#EF8864",4,,,,3,2,26,0.873073,0.783925,4038
1735,"Dodd, Dylan",,B-Knowledge (21),"#81C884","#81C884",6,,,,6,2,5,0.465774,0.683221,2325
1744,"Dokic, Jérôme",,E-Perception (10),"#F9D849","#FDF176",4,,,,3,2,13,0.024829,0.444444,16
1747,"Domski, Mary",,A-Mathematical (15),"#53B6AC","#53B6AC",3,,,,3,2,12,0.003962,0.577778,26
1756,"Doppelt, Gerald D.",,B-Scientific-theory (1),"#66BC6A","#81C884",9,,,,4,2,22,0.012268,0.777778,294
1758,"Dorato, Mauro",,G-Quantum (14),"#EF8864","#EF8864",5,,,,5,2,26,0.865919,0.833368,3961
1759,"Doria, Francisco Antonio",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.011837,0.381773,155
1772,"Douglas, Heather E.",,H-Social (18),"#8D6E63","#A1887F",8,,,,8,3,19,0.075337,0.57377,1050
1775,"Douven, Igor",,B-Arguments (22),"#97D8A3","#81C884",28,,,,20,4,15,0.04665,0.393333,118
1777,"Dowe, Phil",,F-Causation (19),"#FFDFAC","#F4B74C",13,,,,7,3,9,0.012103,0.687192,279
1779,"Downes, Stephen M.",,H-Social (18),"#8D6E63","#A1887F",6,,,,3,2,19,0.003914,0.5,3
1782,"Dragulinescu, Stefan",,F-Property (2),"#F4B74C","#F4B74C",3,,,,3,2,4,0.077471,0.852497,734
1793,"Dresner, Eli",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.005302,0.458333,55
1794,"Dretske, Fred I.",,B-Knowledge (21),"#81C884","#81C884",11,,,,3,2,5,0.514101,0.914198,2962
1795,"Drewery, Alice",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.12474,0.787533,1794
1799,"Driscoll, Catherine",,E-Evolution (5),"#FEFAC4","#FDF176",3,,,,3,2,25,0.193467,0.828571,2059
1801,"Drouet, Isabelle",,F-Causation (19),"#FFDFAC","#F4B74C",3,,,,2,1,9,0.010248,0.712251,250
1810,"Ducheyne, Steffen",,H-Classics (24),"#D8CCC7","#A1887F",6,,,,6,2,2,0.007008,0.831169,192
1820,"Dumsday, Travis",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.126733,0.805531,1835
1828,"Dunlop, Katherine",,A-Mathematical (15),"#53B6AC","#53B6AC",3,,,,3,2,12,0.001736,0.7,7
1834,"Dupré, John",,E-Evolution (5),"#FEFAC4","#FDF176",7,,,,5,2,25,0.198323,0.826484,2172
1845,"Duwell, Armond",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.925843,0.879247,4529
1852,"Díez, José A.",,A-Formal (4),"#B2DFDB","#53B6AC",9,,,,7,3,12,0.000568,0.666667,2
1854,"Döring, Frank",,C-Probability (9),"#AED681","#AED681",2,,,,2,1,15,0.089541,0.707692,1518
1861,"Eagle, Antony",,C-Probability (9),"#AED681","#AED681",3,,,,3,2,15,0.038674,0.714943,311
1864,"Earman, John",,G-Quantum (14),"#EF8864","#EF8864",38,,,,15,4,26,0.986388,0.80847,5116
1865,"Earnshaw-Whyte, Eugene",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.211793,0.842447,2465
1867,"Easwaran, Kenny",,C-Probability (9),"#AED681","#AED681",3,,,,3,2,15,0.002486,1,3
1870,"Eberhardt, Frederick",,F-Causation (19),"#FFDFAC","#F4B74C",7,,,,6,2,9,0.011471,0.548387,255
1874,"Ebert, Theodor",,A-Truth (23),"#439788","#53B6AC",4,,,,3,2,12,0.003905,0.357143,10
1875,"Echeverri, Santiago",,E-Perception (10),"#F9D849","#FDF176",2,,,,2,1,13,0.00682,0.532164,91
1891,"Effingham, Nikk",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.14653,0.767677,1140
1893,"Egan, Andy",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.038089,0.754936,650
1894,"Egan, Frances",,E-Neurosciences (13),"#DCE875","#FDF176",5,,,,3,2,13,0.006309,0.675,81
1896,"Egg, Matthias",,G-Quantum (14),"#EF8864","#EF8864",4,,,,3,2,26,0.189565,0.789855,218
1903,"Ehrlich, Philip",,A-Formal (4),"#B2DFDB","#53B6AC",4,,,,2,1,12,0.011695,0.571429,232
1909,"Eklund, Matti",,B-Arguments (22),"#97D8A3","#81C884",3,,,,3,2,12,0.007786,0.292398,50
1915,"Elga, Adam",,F-Causation (19),"#FFDFAC","#F4B74C",2,,,,2,1,9,0.006168,0.616667,74
1918,"Elgin, Catherine Z.",,A-Sentence (7),"#4BA69A","#53B6AC",7,,,,2,1,17,0.02254,0.75,396
1922,"Eliasmith, Chris",,E-Neurosciences (13),"#DCE875","#FDF176",3,,,,3,2,13,0.020117,0.615616,410
1925,"Ellerman, David P.",,A-Formal (4),"#B2DFDB","#53B6AC",3,,,,2,1,12,0.025228,0.505495,46
1929,"Elliott, Kevin C.",,C-Experiment (12),"#C5E2A5","#AED681",10,,,,8,3,9,0.026665,0.457317,375
1944,"Emery, Nina",,B-Arguments (22),"#97D8A3","#81C884",2,,,,2,1,4,0.005527,0.25,9
1949,"Endicott, Ronald P.",,F-Property (2),"#F4B74C","#F4B74C",3,,,,2,1,4,0.113455,0.769585,1503
1956,"Engelhardt, Jeff",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.102689,0.788312,1214
1959,"Engler, Gideon",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.145523,0.777778,133
1964,"Ereshefsky, Marc",,E-Evolution (5),"#FEFAC4","#FDF176",13,,,,7,3,25,0.208631,0.865225,2401
1974,"Ernst, Zachary",,D-Agent-decision (8),"#DCE875","#DCE875",3,,,,3,2,24,0.013237,0.591667,71
1975,"Eronen, Markus I.",,F-Explanation (16),"#F7CD7F","#F4B74C",5,,,,4,2,13,0.012177,0.367589,93
1976,"Erwin, Edward",,E-Mind (11),"#FDF176","#FDF176",6,,,,2,1,9,0.002115,0.285714,6
1979,"Escobar, Jorge M.",,H-Philosophy (6),"#A1887F","#A1887F",2,,,,2,1,19,0.001541,0.714286,15
1980,"Esfeld, Michael",,G-Quantum (14),"#EF8864","#EF8864",13,,,,9,3,26,0.590434,0.709703,1814
1989,"Eva, Benjamin",,A-Formal (4),"#B2DFDB","#53B6AC",2,,,,2,1,12,0.088415,0.378462,123
1997,"Evans, Robert",,H-Social (18),"#8D6E63","#A1887F",5,,,,2,2,19,0.064425,0.692376,781
1998,"Everett, Anthony",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.104579,0.77072,1274
1999,"Everett, Theodore J.",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.0105,0.573099,98
2001,"Evnine, Simon J.",,B-Knowledge (21),"#81C884","#81C884",3,,,,3,2,5,0.590292,0.852412,3887
2006,"Fagan, Melinda Bonnie",,E-Evolution (5),"#FEFAC4","#FDF176",6,,,,6,2,25,0.10371,0.608696,658
2007,"Fahrbach, Ludwig",,B-Scientific-theory (1),"#66BC6A","#81C884",5,,,,4,2,22,0.011741,0.656085,248
2011,"Fairweather, Abrol",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.333142,0.761278,1215
2019,"Falkenburg, Brigitte",,G-Particles (3),"#F3AA91","#EF8864",2,,,,2,1,13,0.004393,0.6,63
2021,"Fallis, Don",,A-Mathematical (15),"#53B6AC","#53B6AC",2,,,,2,1,12,0.003899,0.866667,39
2032,"Farkas, Katalin",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.294452,0.646753,996
2040,"Farrell, Robert P.",,H-Social (18),"#8D6E63","#A1887F",3,,,,3,2,19,0.009101,0.5,14
2043,"Faulkner, Paul",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.606364,0.827677,4097
2051,"Feest, Uljana",,H-Social (18),"#8D6E63","#A1887F",7,,,,7,3,19,0.007985,0.436364,24
2052,"Feferman, Solomon",,A-Mathematical (15),"#53B6AC","#53B6AC",8,,,,4,2,12,0.015716,0.565079,356
2055,"Fehér, Márta",,H-Classics (24),"#D8CCC7","#A1887F",6,,,,3,2,2,0.003362,0.709091,39
2059,"Feintzeig, Benjamin",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.85629,0.818851,3892
2092,"Festa, Roberto",,C-Probability (9),"#AED681","#AED681",7,,,,4,2,15,0.044905,0.846774,420
2093,"Fetzer, James H.",,C-Confirmation (20),"#DCEDC8","#AED681",16,,,,2,1,15,0.00199,0.333333,2
2095,"Feyerabend, Paul K.",,H-Philosophy (6),"#A1887F","#A1887F",13,,,,2,1,13,0.000662,0.166667,1
2104,"Figdor, Carrie",,E-Neurosciences (13),"#DCE875","#FDF176",2,,,,2,1,13,0.016497,0.758621,330
2114,"Fine, Kit",,A-Truth (23),"#439788","#53B6AC",5,,,,3,2,12,0.0193,0.588933,149
2120,"Finocchiaro, Maurice A.",,H-Classics (24),"#D8CCC7","#A1887F",11,,,,3,2,2,0.004366,0.679487,53
2127,"Fischer, Eugen",,B-Arguments (22),"#97D8A3","#81C884",6,,,,6,2,17,0.022408,0.366667,44
2140,"Fisher, Tyrus",,F-Causation (19),"#FFDFAC","#F4B74C",2,,,,2,1,9,0.010345,0.735385,239
2143,"Fitelson, Branden",,C-Probability (9),"#AED681","#AED681",14,,,,10,3,15,0.078045,0.697838,1194
2150,"Fitzpatrick, Simon",,C-Confirmation (20),"#DCEDC8","#AED681",2,,,,2,1,22,0.001121,0.333333,1
2161,"Fletcher, Samuel Craig",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.874789,0.887939,4049
2165,"Flores, Francisco",,G-Quantum (14),"#EF8864","#EF8864",2,,,,2,1,26,0.497042,0.753005,1378
2166,"Floridi, Luciano",,B-Arguments (22),"#97D8A3","#81C884",14,,,,10,3,13,0.001063,1,1
2180,"Fontes Da Costa, Palmira",,H-History (0),"#BCAAA4","#A1887F",2,,,,2,1,19,0.006111,0.882353,135
2181,"Forber, Patrick",,E-Evolution (5),"#FEFAC4","#FDF176",5,,,,3,2,25,0.15617,0.805808,1332
2186,"Forge, John",,A-Formal (4),"#B2DFDB","#53B6AC",9,,,,3,2,26,0.876919,0.755228,4045
2191,"Forster, Malcolm R.",,C-Experiment (12),"#C5E2A5","#AED681",12,,,,4,2,9,0.015103,0.76092,331
2220,"Franklin, Allan D.",,C-Experiment (12),"#C5E2A5","#AED681",20,,,,5,2,9,0.009729,0.623377,144
2221,"Franklin, James",,A-Mathematical (15),"#53B6AC","#53B6AC",5,,,,3,2,15,0.039619,0.763218,332
2222,"Franklin, L. R.",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.192088,0.793036,2027
2232,"Fraser, Doreen",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.974455,0.834362,5002
2240,"Freedman, Karyn L.",,H-Social (18),"#8D6E63","#A1887F",3,,,,3,2,19,0.088631,0.68502,1381
2246,"French, Rohan",,A-Truth (23),"#439788","#53B6AC",2,,,,2,1,12,0.028562,0.752688,350
2247,"French, Steven",,F-Explanation (16),"#F7CD7F","#F4B74C",25,,,,12,3,22,0.001785,0.3,3
2249,"Fresco, Nir",,E-Neurosciences (13),"#DCE875","#FDF176",4,,,,2,2,13,0.016003,0.812808,330
2263,"Fridland, Ellen",,E-Mind (11),"#FDF176","#FDF176",3,,,,3,2,13,0.004626,0.816993,125
2266,"Friebe, Cord",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.731935,0.796041,2775
2267,"Friederich, Simon",,G-Quantum (14),"#EF8864","#EF8864",6,,,,5,2,26,0.982733,0.817568,5082
2272,"Friedman, Michael",,H-Philosophy (6),"#A1887F","#A1887F",14,,,,8,3,19,0.002146,0.75,27
2281,"Frigg, Roman",,G-Particles (3),"#F3AA91","#EF8864",19,,,,11,3,26,0.102968,0.43083,109
2284,"Frisch, Mathias",,G-Quantum (14),"#EF8864","#EF8864",14,,,,14,4,26,0.413882,0.696716,997
2285,"Frise, Matthew",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.574799,0.886765,3712
2290,"Frost-Arnold, Greg",,B-Scientific-theory (1),"#66BC6A","#81C884",4,,,,4,2,22,0.005433,0.444444,20
2291,"Frost-Arnold, Karen",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.416253,0.896037,1922
2297,"Fuhrmann, André",,A-Truth (23),"#439788","#53B6AC",4,,,,2,1,12,0.045599,0.606061,900
2299,"Fulda, Fermín C.",,E-Evolution (5),"#FEFAC4","#FDF176",2,,,,2,1,25,0.196213,0.696637,2092
2301,"Fuller, Steve",,H-Social (18),"#8D6E63","#A1887F",9,,,,3,2,19,0.08879,0.670396,1438
2303,"Fumagalli, Roberto",,F-Explanation (16),"#F7CD7F","#F4B74C",3,,,,3,2,13,0.021333,0.526132,453
2306,"Futch, Michael J.",,F-Causation (19),"#FFDFAC","#F4B74C",3,,,,3,2,9,0.008572,0.777778,35
2323,"Gaifman, Haim",,A-Formal (4),"#B2DFDB","#53B6AC",9,,,,3,2,15,0.016979,0.542857,57
2325,"Galavotti, Maria Carla",,C-Probability (9),"#AED681","#AED681",7,,,,4,2,15,0.049712,0.993952,493
2339,"Gandenberger, Gregory Stephen",,C-Experiment (12),"#C5E2A5","#AED681",2,,,,2,1,9,0.013146,0.67029,185
2345,"Gannett, Lisa",,E-Evolution (5),"#FEFAC4","#FDF176",5,,,,5,2,25,0.203118,0.815495,2263
2351,"García-Carpintero, Manuel",,A-Sentence (7),"#4BA69A","#53B6AC",2,,,,2,1,17,0.02722,0.468599,485
2369,"Garson, Justin",,E-Neurosciences (13),"#DCE875","#FDF176",6,,,,6,2,25,0.046551,0.459677,228
2376,"Gattei, Stefano",,H-Social (18),"#8D6E63","#A1887F",2,,,,2,1,19,0.052882,0.765292,538
2379,"Gauker, Christopher",,A-Sentence (7),"#4BA69A","#53B6AC",4,,,,2,1,17,0.028428,0.754936,650
2381,"Gaukroger, Stephen W.",,H-Philosophy (6),"#A1887F","#A1887F",6,,,,3,2,2,0.002259,0.642857,18
2392,"Gebharter, Alexander",,F-Causation (19),"#FFDFAC","#F4B74C",8,,,,5,2,9,0.010013,0.738462,240
2396,"Geirsson, Heimir",,A-Sentence (7),"#4BA69A","#53B6AC",3,,,,2,1,4,0.058312,0.503374,373
2398,"Gelfert, Axel",,F-Explanation (16),"#F7CD7F","#F4B74C",6,,,,6,2,13,0.018708,0.460317,174
2402,"Gemes, Ken",,C-Confirmation (20),"#DCEDC8","#AED681",10,,,,6,2,15,0.000295,0,0
2403,"Gendler, Tamar Szabó",,B-Arguments (22),"#97D8A3","#81C884",2,,,,2,1,2,0.007262,0.166667,1
2409,"Georgalis, Nicholas",,B-Arguments (22),"#97D8A3","#81C884",5,,,,4,2,17,0.028746,0.582011,220
2416,"Gerken, Mikkel",,B-Knowledge (21),"#81C884","#81C884",4,,,,4,2,5,0.605321,0.808911,4085
2424,"Gert, Joshua",,B-Arguments (22),"#97D8A3","#81C884",3,,,,3,2,24,0.004562,0.654545,36
2425,"Gervais, Raoul",,F-Explanation (16),"#F7CD7F","#F4B74C",4,,,,3,2,13,0.022272,0.487805,420
2435,"Ghijsen, Harmen",,B-Knowledge (21),"#81C884","#81C884",2,,,,2,1,5,0.577919,0.856097,3742
2438,"Ghirardi, Giancarlo",,G-Quantum (14),"#EF8864","#EF8864",7,,,,3,2,26,0.987658,0.810683,5130
2445,"Gibb, Sophie C.",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.12178,0.734015,1722
2449,"Giberman, Daniel",,F-Property (2),"#F4B74C","#F4B74C",3,,,,3,2,4,0.120901,0.794231,1652
2457,"Giere, Ronald N.",,H-Social (18),"#8D6E63","#A1887F",24,,,,10,3,19,0.050697,0.678521,477
2462,"Gijsbers, Victor",,F-Explanation (16),"#F7CD7F","#F4B74C",3,,,,3,2,13,0.011512,0.715415,181
2469,"Gildenhuys, Peter",,E-Evolution (5),"#FEFAC4","#FDF176",5,,,,5,2,25,0.213494,0.812074,2502
2475,"Gillett, Carl",,F-Property (2),"#F4B74C","#F4B74C",2,,,,2,1,4,0.129748,0.724505,1904
2477,"Gillies, Anthony S.",,A-Truth (23),"#439788","#53B6AC",3,,,,2,1,12,0.058458,0.452991,159
2478,"Gillies, Donald A.",,C-Confirmation (20),"#DCEDC8","#AED681",11,,,,4,2,9,0.005959,0.828571,87
2481,"Gimbel, Steven",,C-Confirmation (20),"#DCEDC8","#AED681",3,,,,3,2,15,0.003145,0.25,7
2483,"Ginev, Dimitri",,H-Social (18),"#8D6E63","#A1887F",11,,,,4,2,19,0.07846,0.775758,1152
2486,"Giordani, Alessandro",,A-Truth (23),"#439788","#53B6AC",4,,,,3,2,12,0.038146,0.738164,764
2487,"Giovanelli, Marco",,G-Quantum (14),"#EF8864","#EF8864",3,,,,3,2,26,0.059688,0.622222,28
2490,"Giraud, Thibaut",,A-Truth (23),"#439788","#53B6AC",2,,,,2,1,12,0.035896,0.70404,697
2500,"Glanzberg, Michael",,A-Truth (23),"#439788","#53B6AC",3,,,,3,2,12,0.030562,0.569501,422
2502,"Glas, Eduard",,H-Social (18),"#8D6E63","#A1887F",13,,,,6,2,12,0.003418,0.266667,4
2504,"Glass, David H.",,C-Probability (9),"#AED681","#AED681",4,,,,4,2,15,0.080394,0.800752,1278
2509,"Glennan, Stuart S.",,F-Causation (19),"#FFDFAC","#F4B74C",7,,,,6,2,13,0.013641,0.428571,39
2513,"Glock, Hans-Johann",,A-Language (17),"#80CBC4","#53B6AC",3,,,,3,2,17,0.009472,0.368421,63
2517,"Glymour, Bruce",,E-Evolution (5),"#FEFAC4","#FDF176",11,,,,10,3,25,0.164223,0.804918,1473
2518,"Glymour, Clark",,A-Formal (4),"#B2DFDB","#53B6AC",35,,,,11,3,9,0.007991,0.562092,86
2519,"Glynn, Luke",,F-Causation (19),"#FFDFAC","#F4B74C",5,,,,5,2,9,0.01272,0.615054,286
2528,"Godfrey-Smith, Peter",,E-Evolution (5),"#FEFAC4","#FDF176",14,,,,9,3,25,0.217494,0.773562,2569
